Pokemon,Frequency,MinLevel,MaxLevel
Pikachu,10,10,30
Persian,30,28,47
Psyduck,60,5,37
Primeape,15,28,47
Arcanine,2,47,65
Chansey,1,25,55
Scyther,22,15,40
Magikarp,47,2,39
Flaaffy,25,22,40
Marill,67,19,24
Wooper,70,5,24
Murkrow,30,15,40
Misdreavus,38,10,40
Pineco,60,17,35
Dunsparce,5,15,40
Houndour,60,2,20
Houndoom,20,24,60
Phanpy,33,11,22
Donphan,23,25,60
Meditite,60,20,39
Grumpig,20,32,51
Swablu,70,18,32
Barboach,60,16,34
Starly,25,7,18
Staravia,30,22,52
Combee,40,5,25
Pachirisu,20,18,28
Buizel,20,2,30
Drifloon,30,14,32
Bronzor,60,9,25
Riolu,10,12,40
Petilil,40,13,35
Lilligant,5,30,60
Basculin,60,15,40
Deerling,62,16,40
Swasbuck,45,34,55
Rufflet,25,21,58
Fletchinder,30,17,35
Flabebe,49,10,23
Floette,23,19,55
Skiddo,40,14,29
Hawlucha,60,45,65
Goomy,40,15,39
Yungoos,20,2,24
Rockruff,21,6,17
Chewtle,10,5,26
Toxel,47,10,25
Hatenna,40,16,36
Dreepy,10,20,40
Lechonk,67,2,18
Tarountula,57,2,18
Flittle,60,17,38
Tadbulb,50,12,35
Bellibolt,5,35,51
Pawmi,5,2,12
Pawmo,12,18,58
Flamigo,36,10,50
Nacli,60,10,28
Maschiff,43,10,29
Charcadet,1,13,32
Toedscool,6,18,34
