Pokemon,Frequency,MinLevel,MaxLevel
Pikachu,10,10,30
Jigglypuff,60,10,29
Diglett,50,2,24
Drowzee,40,2,12
Eevee,8,11,30
Pichu,10,5,10
Igglybuff,60,5,9
Mareep,40,9,19
Marill,70,19,24
Hoppip,60,2,8
Petilil,40,13,35
Fletchling,60,2,14
Smoliv,100,7,29
Fidough,50,5,12
Maschiff,42,10,29
Sunkern,60,5,12
Murkrow,40,15,40
Misdreavus,15,10,40
Phanpy,20,11,22
Surskit,60,8,23
Azurill,60,5,8
Starly,27,7,18
Staravia,30,22,52
Kricketot,30,5,14
Combee,37,5,25
Buizel,20,2,30
Drifloon,35,14,32
Bronzor,60,9,25
Bonsly,30,5,12
Happiny,1,5,15
Riolu,12,12,40
Skiddo,40,14,29
Bounsweet,60,5,17
Skwovet,40,5,14
Chewtle,10,10,26
Applin,10,10,35
Toxel,60,10,25
Lechonk,70,2,18
Tarountula,55,2,18
Nymble,45,14,22
Tadbulb,50,12,35
Shroodle,20,5,32
Tinkatink,15,10,20
