Pokemon,Frequency,MinLevel,MaxLevel
Meditite,60,20,39
Bombirdier,23,19,50
Gothorita,30,32,41
Sinistea,40,28,44
Dachsbun,30,26,44
Dratini,18,20,52
Medicham,20,40,56
Donphan,16,25,60
Lilligant,5,30,60
Gothitelle,1,41,60
Sylveon,1,35,65
Gumshoos,30,20,39
Dunsparce,5,15,40
Sunflora,30,25,47
Floette,24,19,55
Vespiquen,20,30,50
Chansey,1,25,55
Psyduck,60,5,37
Magikarp,46,2,39
Misdreavus,37,10,40
Basculin,60,15,40
Scyther,30,15,55
Hattrem,30,32,42
Golduck,20,33,56
Altaria,23,40,60
Dreepy,10,20,40
Whiscash,10,30,48
Drednaw,10,22,41
Vaporeon,1,35,65
Swablu,70,18,32
Flittle,60,17,38
Gogoat,35,32,60
Drifloon,35,14,32
Nymble,30,14,22
Rufflet,25,21,58
Honchkrow,20,35,65
Greedent,20,24,43
Lokix,25,24,55
Pawmo,15,18,58
Mudsdale,12,30,49
Scovillain,10,30,60
Tinkatuff,12,24,56
Flareon,1,35,65
Bellibolt,5,35,51
Hypno,20,28,45
Bronzong,20,33,52
Klefki,20,36,50
