Pokemon,Frequency,MinLevel,MaxLevel
Deerling,62,16,35
Noibat,50,15,52
Meditite,60,20,39
Sandygast,60,16,46
Maschiff,40,10,29
Tauros,15,22,50
Slowpoke,30,23,56
Ditto,23,28,35
Flaaffy,30,22,29
Azumarill,30,28,50
Girafarig,40,20,50
Donphan,27,25,60
Staravia,30,22,52
Stunky,30,20,38
Croagunk,25,16,41
Palossand,20,42,61
Oinkologne,20,18,35
Gible,15,10,29
Rotom,10,20,50
Varoom,10,27,44
Cyclizar,13,20,65
Wiglett,60,13,30
Wattrel,76,14,29
Crabrawler,30,10,40
Slowbro,20,37,56
Buizel,20,2,30
Wugtrio,20,26,53
Nacli,37,10,28
Floatzel,20,28,60
Pincurchin,10,20,50
Bagon,255,16,28
Yungoos,40,2,24
Salandit,60,10,40
Gumshoos,30,20,39
Sableye,20,15,55
Hariyama,12,27,43
Gabite,10,32,60
Dunsparce,3,15,40
Glimmet,1,23,55
Charcadet,1,13,32
Skiploom,40,18,27
Murkrow,50,15,40
Fletchinder,30,17,35
Tropius,10,20,50
Pawmo,10,18,58
Toedscool,2,18,34
Chansey,1,25,55
Magikarp,40,2,39
Arrokuda,50,2,30
Finizen,30,15,42
Barraskewda,20,26,45
Psyduck,60,5,37
Basculin,60,15,40
Tadbulb,50,12,35
Flamigo,12,24,48
Chewtle,10,10,26
Drednaw,10,22,41
Dreepy,5,20,40
Bellibolt,5,35,51
Skiddo,50,14,29
Lokix,30,24,55
Tandemaus,70,7,14
