Pokemon,Frequency,MinLevel,MaxLevel
Shuppet,70,16,35
Deerling,68,16,40
Teddiursa,60,16,28
Shellos,60,16,34
Lechonk,66,2,18
Venonat,40,17,25
Oricorio,40,10,50
Tauros,15,22,50
Litleo,42,18,32
Rookidee,30,5,29
Corvisquire,28,18,38
Skiploom,30,18,27
Gulpin,33,12,17
Oinkologne,20,18,35
Spidops,25,20,55
Pikachu,10,10,30
Steenee,16,21,47
Wattrel,76,14,29
Nacli,37,10,28
Yungoos,40,2,24
Gumshoos,30,20,39
Makuhita,25,10,25
Dunsparce,3,15,40
Charcadet,1,13,32
Pineco,60,17,35
Bounsweet,60,5,17
Komala,30,20,50
Murkrow,40,15,40
Shroodle,20,5,32
Cyclizar,13,20,65
Applin,10,10,35
Toedscool,6,18,34
Fletchinder,30,17,35
Pawmo,12,18,58
Swablu,70,18,32
Skiddo,40,14,29
Veluza,20,25,65
Azurill,60,5,8
Tadbulb,50,12,35
Tandemaus,70,7,14
Squawkabilly,12,12,25
