Pokemon,Frequency,MinLevel,MaxLevel
Shuppet,70,16,35
Carkol,60,25,34
Voltorb,30,26,29
Gothita,30,18,36
Pawniard,40,22,47
Rookidee,30,5,29
Corvisquire,27,18,38
Sinistea,30,28,44
Dachsbun,30,26,44
Bramblin,45,25,40
Growlithe,16,17,23
Magnemite,30,16,34
Rolycoly,33,5,23
Meowth,30,14,32
Varoom,11,27,44
Larvitar,129,16,38
Bagon,129,16,38
Yungoos,40,2,24
Salandit,60,10,40
Gumshoos,30,20,39
Diglett,30,2,24
Dugtrio,30,26,60
Makuhita,20,10,25
Sableye,20,15,55
Hariyama,21,27,43
Dunsparce,4,15,40
Glimmet,1,23,55
Charcadet,1,13,32
Murkrow,50,15,40
Psyduck,60,5,37
Magikarp,46,2,39
Barboach,60,16,34
Basculin,60,15,40
Flamigo,36,10,50
Goomy,40,15,39
Dreepy,10,20,40
Chewtle,10,5,26
Drednaw,10,22,41
Cufant,60,17,28
Gastly,30,2,24
Orthworm,30,22,65
Rufflet,20,21,58
Torkoal,10,28,50
Silicobra,10,22,40
Arrokuda,50,2,30
Buizel,20,2,30
Barraskewda,20,26,45
Tadbulb,50,12,35
Bellibolt,5,35,51
Nacli,60,10,28
Skiddo,50,14,29
Lokix,30,24,55
Tandemaus,70,7,14
Squawkabilly,12,12,25
